Datetime,Tweet Id,Username,Text,Hashtag,Language
2022-11-25 22:22:46+00:00,1596268182544736256,Lisa7724827953,@edward_baran @JamesCleverly @ZelenskyyUa I DO want this.  I am a U.K. citizen so don’t you speak for me,,en
2022-11-25 22:22:32+00:00,1596268123359154176,Misko195,@friendlysquid87 @Dad75Pro @jefemundo1 @Blu3Fan35 @ZelenskyyUa @POTUS Out? How do you know when they still using them? From where did you get this?,,en
2022-11-25 22:22:07+00:00,1596268020514553857,108Maia108,@JamesCleverly @ZelenskyyUa No way. I am not supporting this facade.,,en
2022-11-25 22:22:02+00:00,1596267995814559744,tanya0723,@Aleksey96592567 @RealCandaceO @ZelenskyyUa Zelensky is a foreign president someone who keeps taking American money.. Again Ronald Reagan was an American President! Big difference,,en
2022-11-25 22:21:29+00:00,1596267859394826241,LMamtschak,"@vonderleyen @ZelenskyyUa @EU_Commission Ursula, thank you for your constant and unwavering support for Ukraine. Glory to Ukraine! Glory to the heroes! Ukraine is fighting not only for itself but for the retention of democracy and freedom in the whole of Europe. ❤️🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦",,en
2022-11-25 22:21:26+00:00,1596267846627360769,TrueScottsmen,@Junglem71721433 @KathyA70426555 @SamRamani2 @ZelenskyyUa “Through Czechoslovakia to the Nazis! That will appease Hitler and avoid the war!”,,en
2022-11-25 22:21:19+00:00,1596267818689138694,SwissTroll2,@vonderleyen @ZelenskyyUa @EU_Commission Did you say anything when the US/NATO invaded #Iraq using a fake #WMD story? And using your term “criminal attacks on civilian infrastructure “ I bet you were for it! https://t.co/kMDn736rqO,"['Iraq', 'WMD']",en
2022-11-25 22:21:02+00:00,1596267745032556545,hippoBram,@HarryGDC @PMoesick @MwauraRobert2 @vonderleyen @ZelenskyyUa @EU_Commission Alot of these guys are paid Russian bots... I know I shouldn't be replying but seeing thousands of these everyday really gets under my skin and I've got to reply to a few 😂😂 They all comment in bad faith and are impossible to convince.. 🙄🙄🙄,,en
2022-11-25 22:20:53+00:00,1596267706868674560,Sneekyhen2,"@JamesCleverly @ZelenskyyUa James . Remember  the UK put you where you are ,,,, https://t.co/KehJKC8beR",,en
2022-11-25 22:20:00+00:00,1596267487749963776,HangCaoJun,"@MFA_Ukraine @ZelenskyyUa Ukrainians have become one of the most respected nations in the world. When I see drivers with Ukrainian license plates on the road, I give them big compliments.🇺🇦🇺🇦🇺🇦 https://t.co/UeoDmDfnVB",,en
