Datetime,Tweet Id,Text,Username
2022-10-19 21:55:30+00:00,1582852967216340992,"@MichalSzczerba @warszawa @trzaskowski_ @GazetaStoleczna @tvnwarszawa @PORP_Warszawa @1944pl @muzeumwarszawy @EDGrupinska @BurmistrzHac @budziszewski_ Michał wyglądasz na niezdrowo podnieconego. Wyluzuj, to starsza kobieta jest.",Grisaceo68
2022-10-19 21:55:21+00:00,1582852931769946113,@ZDM_Warszawa @St_Mieszkancow @JSzostakowski @MichalMycka @molszew77 @Skolimowski @bolekczyta @CzekalskiPawe @MelaniaLuczak @trzaskowski_ @ZDM_Warszawa a czy jest już projekt szczegółowej organizacji ruchu na podstawie wniosków z konsultacji?,wojteknowakows
2022-10-19 21:54:47+00:00,1582852789436239872,@ljporebski @MiastoJestNasze @ZDM_Warszawa @marta_ewa_sz Niepodległości nie jeździłem ale Puławska też ma swoje uroki. Hit ponad hity to Poniatoszczak na lewym pasie (prawy BUS-pas). No a z siodełka zdjęli mnie na 11listopada :),Marek_R_Krupski
2022-10-19 21:52:29+00:00,1582852211297570816,"Jak dla mnie to fajny pomysł i wyszło bardzo spoko. Najbardziej podoba mi się ""Warszawa"" Tuwima. ""Nic dwa razy"" też fajne.
W sumie, to nieraz wolę poezję śpiewaną niż, gdy artyści silą się na jakieś teksty w stylu ""byle do rymu"", np. ""lubię gdy jest jesień, żółto rudy wrzesień""😆 https://t.co/iG4SIAc7za",piotrcelentano
2022-10-19 21:48:21+00:00,1582851168686202881,@jaukiuki @ZDM_Warszawa @marta_ewa_sz @MiastoJestNasze Od Powązkowskiej do Broniewskiego ddr jest w planach @ZDM_Warszawa i nawet na projekcie @ZarzadZieleni dla skweru Krasińskiego.,ljporebski
2022-10-19 21:48:11+00:00,1582851126986035200,"@Brajnoo I dobrze piszesz mam identyczne przeczucia, niech w Kaliszu albo Zielonej Górze mają ŚWIĘTO na przyjazd Legii Warszawa! Zabijali by się o bilety i oglądali mecz z drzew za stadionu;)",DamianoPolako
2022-10-19 21:47:08+00:00,1582850862082568192,"@mlapiak @ZDM_Warszawa @marta_ewa_sz @MiastoJestNasze Ale pamiętasz, że to chodnik pod cmentarzem, gdzie jest codziennie pogrzeb i sporo osób idących do kościoła?",ljporebski
2022-10-19 21:46:11+00:00,1582850624403959808,"@zweilicht85 @j_luckmann @schnellenbachj Wie gesagt hab ich nix dagegen, nur die Politik sollte das nicht bestimmen 🤷
Dann machen wir aus Warschau auch Warszawa, kein Umstand 🍀",AspyrexGbr
2022-10-19 21:45:46+00:00,1582850520590389248,"@jednapani1 @ZDM_Warszawa @marta_ewa_sz @MiastoJestNasze Widać za to rowerzystów, którzy chodnikiem jadą. Tylko przypominam, że to chodnik pod murem cmentarza i kościoła. Tu codziennie są spore grupy idących na msze lub z nich wracający.",ljporebski
2022-10-19 21:44:17+00:00,1582850144562688000,"👏🔝Wielkie brawa, koszykarka SKK Polonia Warszawa – Andreona Keys  – w pierwszej piątce 2. kolejki ligowej Energa Basket Liga Kobiet!

🖤🦸‍♀️ Gratulujemy naszej zawodniczce i trzymamy kciuki za kolejne udane występy koszykarek Polonii! Kolejna okazja j… https://t.co/nxZRsKQd7k",PoloniaRSS
2022-10-19 21:42:54+00:00,1582849797542666241,"@KrzysztofPanfil @ZDM_Warszawa @marta_ewa_sz @MiastoJestNasze Ja jeżdżę codziennie od 8 miesięcy, a dziś to rowerzystów sporo, choć podobno sezon rowerowy już się skończył. Polecam parkingi rowerowe pod szkołami, to dobrze widać, że sezon rowerowy trwa.",ljporebski
2022-10-19 21:42:29+00:00,1582849694618689536,"@trzaskowski_ @egizelska Jestem pod wrażeniem. A byłbym pewnie pod jeszcze większym gdyby napędzane słońcem, wiatrem i zieloną energią pojazdy firmy Lekaro wywoziły odpady zgodnie z harmonogramem zamiast czekać aż Warszawa przekształci się w gnijącą biomasę zasilającą tramwaj do Wilanowa.",Krzyszt84620160
2022-10-19 21:42:00+00:00,1582849572505677824,@Marek_R_Krupski @ljporebski @ZDM_Warszawa @marta_ewa_sz @MiastoJestNasze Wolę jednak zaryzykować mandat niż zdrowie (i nerwy) na tym odcinku ulicy.,sidd_2017
2022-10-19 21:41:39+00:00,1582849481984208897,@AdalbertusEs @AnnaZalewskaMEP @ecrgroup @pisorgpl @FMPiS_Oficjalny @WroclawFMPiS @PiSForumMlodych @FM_PiS_Warszawa @RadioOpole @prwpl @RadioRodzina @FMPiSOpole jesli sklepem mozna nazwać pck...,hariko2000
2022-10-19 21:39:29+00:00,1582848937501024256,@Marek_R_Krupski @MiastoJestNasze @ZDM_Warszawa @marta_ewa_sz Jak szukasz adrenaliny to polecam przejazd Niepodległości w stronę centrum.,ljporebski
2022-10-19 21:38:50+00:00,1582848775722180609,@sidd_2017 @ljporebski @ZDM_Warszawa @marta_ewa_sz @MiastoJestNasze Jazda po chodniku jest wykroczeniem.,Marek_R_Krupski
2022-10-19 21:38:24+00:00,1582848664518553600,kocham miasto warszawa,yautiia
2022-10-19 21:38:17+00:00,1582848634852233216,@dobraszd @dobraszd będzie w tym tyg. Poznań vs Warszawa czy to nie jest co tydzień?,Antoine_kks
2022-10-19 21:38:16+00:00,1582848631626817536,"@JarekStawarz @MiastoJestNasze @ZDM_Warszawa @marta_ewa_sz A z drugiej strony, jak jedziesz środkiem to zaczyna się trąbienie, celowe spychanie lub bluzgi przez okno, że mam spi....ać na chodnik. Znam z autopsji, a różnych ulicach.",ljporebski
2022-10-19 21:29:17+00:00,1582846372453449728,@PORP_Warszawa @MKierwinski https://t.co/0eGsspYJjL,TeoJade2
2022-10-19 21:29:06+00:00,1582846327511449600,"@PolskieRadio24 @PORP_Warszawa @MKierwinski Biedronka UE:
https://t.co/0eGsspYJjL",TeoJade2
2022-10-19 21:28:40+00:00,1582846215732936709,"@PORP_Warszawa @MKierwinski nie chciał płacić
https://t.co/0eGssqfMlL",TeoJade2
